feedback_id,date,location,feedback
FB0053,2026-06-02,Cafeteria,Staff at the cafeteria counter are always polite and quick with orders.
FB0034,2026-06-07,Restroom,"Restroom floors are often wet and slippery, could be a safety hazard."
FB0003,2026-06-09,Library,Several power outlets near the reading tables are broken and haven't been fixed in weeks.
FB0044,2026-06-09,Library,I really appreciate how quiet and well-organized the library has become this semester.
FB0032,2026-06-12,Library,"Book collection in the CS section is outdated, most titles are from over ten years ago."
FB0036,2026-06-15,Library,Staff at the library help desk were very friendly and helped me find resources quickly.
FB0056,2026-06-15,Restroom,"The renovated restrooms in the new wing are clean, modern, and well-stocked."
FB0016,2026-06-18,Classroom,"Electrical outlets near the front of the room don't work, we can't charge our laptops."
FB0029,2026-06-18,Campus Entrance,Guards at the entrance are courteous and help visitors find their way.
FB0014,2026-06-19,Wi-Fi Areas,New mesh Wi-Fi system installed this semester covers the whole campus well.
FB0037,2026-06-20,Library,"Air conditioning in the library is too weak during afternoon hours, it gets uncomfortably warm."
FB0039,2026-06-21,Campus Entrance,New signage at the campus entrance makes navigation much clearer for visitors.
FB0004,2026-06-28,Cafeteria,"Cafeteria ran out of food options by 1pm, students who arrive later have no choices left."
FB0008,2026-06-28,Computer Laboratory,Several monitors in Lab 3 have dead pixels and flickering screens that strain the eyes.
FB0028,2026-06-29,Restroom,"Restroom ventilation is poor, there's a persistent unpleasant smell most days."
FB0017,2026-07-02,Classroom,The renovated classroom with new desks is much more comfortable than before.
FB0050,2026-07-03,Student Lounge,"The lounge is a comfortable place to relax between classes, well maintained overall."
FB0015,2026-07-04,Wi-Fi Areas,"Campus Wi-Fi disconnects constantly in the engineering building, very frustrating."
FB0021,2026-07-04,Wi-Fi Areas,IT support responded quickly when I reported the Wi-Fi outage near the cafeteria.
FB0002,2026-07-05,Computer Laboratory,New lab computers installed this semester are fast and run our software smoothly.
FB0060,2026-07-05,Student Lounge,Vending machines in the student lounge are frequently out of stock or broken.
FB0007,2026-07-11,Computer Laboratory,"Software licenses expired on several machines, we can't run our development tools anymore."
FB0027,2026-07-17,Classroom,Projector in Room 204 keeps flickering and shutting off in the middle of lectures.
FB0046,2026-07-19,Cafeteria,The new vegetarian options at the cafeteria are delicious and reasonably priced.
FB0045,2026-07-20,Campus Entrance,"Sidewalk near the campus entrance is cracked and uneven, a tripping hazard."
FB0011,2026-07-21,Campus Entrance,There is no shade or waiting area near the entrance during hot weather.
FB0001,2026-07-22,Wi-Fi Areas,"Wi-Fi speed near the library is fast and reliable, great for downloading resources."
FB0026,2026-07-22,Library,"The library Wi-Fi keeps disconnecting every few minutes, making it hard to research."
FB0024,2026-07-25,Parking Area,"Drainage in the parking lot is poor, it floods heavily after any rain."
FB0042,2026-07-25,Cafeteria,"Seating space in the cafeteria is not enough during peak hours, many students eat standing."
